Category,Deadline,Goal,Pledged,Status,Backers
Wearables,2015-08-20 16:50:40,75000,106084.5,successful,1107
Hardware,2014-01-04 01:18:18,101000,115,canceled,3
Software,2016-07-09 22:21:04,50000,3646,canceled,44
Apps,2014-09-26 03:28:54,30000,0,failed,0
Apps,2015-03-26 18:10:00,7000,963,failed,22
Flight,2014-03-30 22:26:35,20000,22403,successful,213
Gadgets,2015-12-25 18:50:25,2500,10,failed,1
Robots,2015-08-26 01:10:39,225000,229819.91,successful,1739
Hardware,2013-07-10 17:25:01,10000,3508,failed,18
Apps,2016-01-28 01:08:21,10000,50,failed,2
Apps,2016-08-22 20:08:27,65000,2386,failed,117
Web,2016-06-01 16:07:38,65000,1256,failed,18
Web,2015-01-21 17:58:10,55000,0,failed,0
Software,2009-09-03 04:37:00,4500,110,failed,4
Software,2014-12-13 00:36:22,10000,11018,successful,154
Technology,2015-05-31 18:46:30,10000,0,failed,0
Gadgets,2014-09-10 18:43:32,13000,925,failed,13
3D Printing,2014-12-23 02:55:21,30000,1163,failed,10
Software,2015-10-18 13:07:05,250000,1,failed,1
Robots,2016-01-09 16:57:35,5000,199,failed,10
Hardware,2015-02-01 02:00:00,7500,250,failed,3
DIY Electronics,2015-01-06 16:12:59,3000,5064,successful,23
Web,2015-05-02 01:26:44,7000,0,failed,0
Apps,2016-01-08 19:06:45,100000,77,failed,5
Hardware,2013-11-15 05:23:14,5000,686,failed,9
Software,2015-04-02 00:20:34,10000,0,failed,0
Technology,2015-09-06 13:22:37,50000,10,failed,1
Technology,2013-10-31 04:59:00,100000,109926.5,successful,610
Gadgets,2015-05-15 18:18:15,500,21,failed,2
3D Printing,2016-02-12 17:47:36,30000,7072,failed,55
Hardware,2016-07-01 03:00:00,35000,36587.72,successful,393
Space Exploration,2016-02-20 00:40:59,111100,78,failed,11
Robots,2015-02-26 23:33:28,150000,760,failed,27
Technology,2015-08-11 17:59:51,3500,1607,failed,45
Web,2014-09-06 21:15:36,13000,955,failed,13
Software,2013-07-25 14:20:59,17500,271,failed,9
Robots,2015-01-05 03:46:17,4300,287,failed,5
Web,2015-02-24 18:18:38,93770,5000,canceled,1
Hardware,2014-09-08 04:03:11,35000,36237,successful,315
DIY Electronics,2016-05-25 17:50:52,10000,2253,failed,35
Technology,2014-12-20 14:49:00,50000,2610,failed,5
Apps,2014-08-02 13:04:39,10000,50,failed,2
Flight,2014-09-11 23:53:52,1500,150,failed,5
3D Printing,2015-08-14 11:56:55,110000,16,failed,3
Apps,2014-09-20 19:45:00,4500,0,failed,0
Technology,2015-05-14 14:53:12,200000,0,failed,0
Web,2016-06-06 04:52:53,1500,1,failed,1
Apps,2015-11-14 01:19:00,300000,0,failed,0
Hardware,2013-09-20 20:45:55,50000,3208,failed,18
Apps,2016-07-01 04:00:00,125000,20,failed,1
Apps,2015-09-28 08:24:00,13500,13603,successful,26
Hardware,2013-11-06 19:27:34,3500,7518,successful,54
Apps,2016-05-06 17:58:32,60000,4,failed,2
Apps,2015-05-07 05:53:00,75000,448,failed,16
Apps,2014-09-06 23:52:46,12000,261,canceled,5
Technology,2014-02-20 16:01:03,20000,23459,successful,220
Software,2014-05-30 17:59:00,40000,25,canceled,1
Web,2016-03-29 19:46:56,29000,2,failed,2
Apps,2014-07-14 07:39:05,50000,5,failed,1
Technology,2015-09-17 01:43:27,8999,571,failed,29
Software,2012-11-18 04:13:06,1000,50,failed,1
Gadgets,2016-07-23 20:00:13,275000,480,canceled,4
Gadgets,2016-11-21 15:47:47,8000,0,failed,0
Gadgets,2016-11-22 19:39:35,150000,251,suspended,11
Apps,2016-03-07 13:45:21,60000,23,failed,4
Apps,2016-08-25 12:01:23,10800,11029.67,successful,332
Web,2014-08-10 22:02:06,50,1,failed,1
3D Printing,2014-10-04 00:45:00,5000,586,failed,10
Hardware,2014-01-01 20:30:17,7400,836,failed,13
Web,2015-02-23 04:06:01,500,7,failed,3
Technology,2013-12-26 02:07:24,30000,8390,failed,90
Software,2016-07-24 15:25:48,17000,500,failed,1
Hardware,2014-10-06 02:36:26,39999,2456,failed,24
Web,2015-08-01 17:04:24,20588,5,failed,1
Gadgets,2016-08-01 04:00:00,75000,1350,failed,8
Technology,2014-06-29 16:50:28,150000,11,failed,3
Gadgets,2016-07-27 23:06:52,3300000,0,failed,0
Apps,2015-01-29 18:00:25,24000,937,failed,16
Web,2016-03-10 22:27:13,8500,0,canceled,0
Gadgets,2015-08-29 06:01:29,10000,582634,successful,3792
Web,2015-06-02 21:57:03,12000,650,failed,4
Technology,2011-10-18 18:47:18,50000,1060,canceled,11
Web,2016-09-23 23:19:25,5000,0,canceled,0
Technology,2014-07-17 13:45:44,475000,82998,failed,38
Camera Equipment,2014-12-08 21:35:20,220000,0,canceled,0
Apps,2015-11-29 22:58:46,100000,0,canceled,0
DIY Electronics,2014-12-01 23:26:40,12000,27242,successful,440
Apps,2016-11-16 03:03:05,71309,0,failed,0
Wearables,2014-10-30 03:02:12,4500,4726,successful,11
Software,2016-08-04 16:50:40,100000,2,failed,2
Apps,2015-10-29 15:32:28,25000,0,failed,0
Apps,2014-09-13 20:34:29,10000,45,failed,3
Robots,2014-09-20 20:22:18,30000,226,failed,4
Technology,2013-06-08 05:07:14,20000,60,failed,3
Apps,2014-10-10 16:52:09,10000,60,failed,3
Software,2012-08-10 01:02:25,2500,2543,successful,46
Hardware,2013-07-14 23:30:31,75000,98001,successful,2148
Apps,2015-06-15 17:19:11,200000,10,canceled,2
Technology,2013-11-20 09:01:48,100000,15000,failed,90
Hardware,2010-08-01 05:59:00,15000,240,failed,7
Technology,2012-04-07 22:47:19,40850,1306,failed,7
Hardware,2015-05-20 02:42:55,50000,4432,canceled,15
Technology,2015-06-10 21:58:14,3000,23183,successful,229
Hardware,2013-02-16 08:59:00,30000,12184.58,failed,121
Hardware,2015-01-12 00:41:31,250000,4001,failed,40
Technology,2016-04-24 22:31:28,110000,2,failed,2
Technology,2014-05-08 09:00:51,40000,15465,failed,113
Hardware,2016-10-14 19:35:21,500,176,failed,8
DIY Electronics,2016-04-27 19:02:43,5000,5956,successful,78
Technology,2015-12-26 01:33:29,50000,350,failed,4
Camera Equipment,2014-07-14 19:46:19,1000,2481,successful,20
Apps,2014-11-03 05:59:00,15000,0,failed,0
Hardware,2014-08-23 00:53:33,90000,92022.6,successful,631
Wearables,2014-06-26 21:29:48,43000,100,canceled,1
Apps,2016-11-25 06:59:26,5000,0,failed,0
Gadgets,2016-06-02 19:34:54,5000,7099,successful,115
Camera Equipment,2015-06-10 23:30:00,280000,5407,canceled,15
Wearables,2014-11-14 00:21:00,50000,8422,failed,40
Technology,2015-12-26 20:43:18,60000,501,failed,11
Apps,2015-09-03 23:42:37,400000,34,canceled,1
Hardware,2011-10-03 02:33:58,27000,104482,successful,547
Apps,2015-10-14 17:21:00,30000,0,failed,0
DIY Electronics,2015-03-04 09:53:02,1000,100,failed,1
Technology,2016-10-30 11:35:39,15000,1316,failed,32
Technology,2015-03-06 19:49:03,30000,492,failed,11
3D Printing,2016-07-03 21:39:58,6000,870,failed,3
Software,2015-05-10 17:00:15,1999,0,failed,0
3D Printing,2015-08-31 16:33:00,3500,2450,failed,27
Hardware,2013-05-20 14:54:00,2000,1637,canceled,10
Hardware,2015-07-19 16:18:19,700,962,successful,21
Software,2012-03-11 22:29:33,35000,2450,failed,29
Gadgets,2016-01-06 19:48:28,70000,24472,failed,26
Hardware,2015-10-24 00:52:53,50000,25,failed,1
Technology,2012-01-10 06:00:00,85000,2566,failed,16
Space Exploration,2012-04-16 08:59:00,3000,4125,successful,65
Technology,2014-06-22 07:23:56,110000,4496,canceled,92
Web,2015-11-05 18:30:11,8000,6726,failed,55
Robots,2016-06-18 22:50:36,20000,3290,failed,15
Web,2016-02-04 22:11:26,200000,75,failed,2
Software,2015-08-30 17:23:41,50000,0,failed,0
Software,2015-02-27 18:57:22,18000,1,canceled,1
Hardware,2014-07-30 00:06:56,220000,1795,failed,20
Technology,2016-06-16 07:06:53,1000,456,failed,7
Apps,2015-03-24 13:17:44,5000,2,failed,1
Apps,2015-04-10 06:49:22,50000,141,failed,4
Hardware,2015-06-15 02:54:18,20000,21966,successful,61
Web,2014-09-08 00:59:13,240000,0,failed,0
Apps,2015-07-16 05:11:00,12000,0,failed,0
Apps,2016-06-04 03:47:40,90000,0,failed,0
Software,2015-11-02 03:05:01,10750,0,canceled,0
Makerspaces,2016-06-17 17:52:05,100000,0,failed,0
Technology,2016-04-10 03:00:00,50000,86284.2,successful,2011
Apps,2016-08-01 02:01:00,3500,709,canceled,28
Technology,2014-05-19 19:31:12,550000,341,canceled,11
Technology,2016-03-24 13:02:38,50000,81045,successful,427
Hardware,2014-12-05 03:00:00,50000,202701.59,successful,484
Technology,2014-11-08 18:29:39,600,120,failed,8
Technology,2014-11-04 16:21:28,50000,81,failed,4
Apps,2014-08-16 23:26:04,105000,0,failed,0
Technology,2016-11-09 19:31:59,15000,805,failed,25
Web,2014-11-19 02:43:04,20000,106,failed,6
Apps,2015-07-21 02:43:20,537600,45,failed,3
Web,2016-04-15 20:48:14,30000,0,failed,0
Sound,2016-10-06 17:59:25,80000,2954,failed,32
Software,2016-03-25 14:17:42,200000,4248,canceled,16
Technology,2015-09-16 17:10:53,35000,37065,successful,60
Makerspaces,2015-02-28 01:01:34,40000,132,failed,3
Web,2015-05-13 18:42:33,7500,0,failed,0
Technology,2016-08-08 21:34:12,25000,125,failed,5
DIY Electronics,2016-07-03 16:40:56,1000,1061,successful,24
Gadgets,2016-10-02 17:58:33,500,209,failed,4
Apps,2015-11-21 19:30:37,5700,1,canceled,1
Software,2011-12-03 00:27:46,40000,195,failed,7
Apps,2016-08-28 08:37:23,150000,5,canceled,1
Technology,2014-06-17 06:00:00,3750,401,failed,13
Technology,2014-05-04 02:31:32,2250,232,failed,13
Gadgets,2015-03-15 01:58:07,1000,1384,suspended,58
Apps,2015-04-20 03:43:30,25000,25,failed,1
Wearables,2016-03-31 20:44:00,75000,102066,successful,1042
Gadgets,2015-11-14 18:00:22,5000,6144,successful,132
Technology,2014-12-15 01:00:05,15000,5,failed,1
Gadgets,2015-02-22 21:00:02,7000,21,failed,3
Technology,2013-07-12 20:41:54,10000,1789,failed,72
Apps,2015-02-12 00:37:57,500,0,failed,0
Technology,2014-02-26 21:21:23,1000,2050.81,successful,25
Apps,2014-09-09 21:54:56,40000,0,failed,0
Technology,2016-02-19 17:47:51,15000,247,failed,7
Gadgets,2014-07-13 03:38:04,100000,8723,failed,66
Web,2015-12-13 05:59:00,175000,58369,failed,216
Robots,2014-06-14 01:06:00,10000,13415,successful,100
Technology,2012-11-04 22:58:05,50000,60,failed,2
Apps,2015-08-05 03:00:00,50000,1894,failed,24
Technology,2014-03-05 19:54:01,2500,26675.1,successful,1106
Technology,2013-08-22 17:43:57,125000,16338.01,failed,193
Web,2015-02-01 01:10:02,50000,26,failed,2
Apps,2016-07-08 20:41:46,30000,1025,canceled,3
Apps,2014-12-05 01:07:16,7500,0,canceled,0
Technology,2016-07-14 20:02:29,15000,64,canceled,1
Hardware,2013-07-21 07:46:01,40000,159606.32,successful,901
Hardware,2016-03-03 23:04:58,42750,42760,successful,58
Technology,2015-06-02 14:20:13,800,2153,successful,31
Technology,2016-02-18 14:00:44,99500,12398,failed,67
Wearables,2015-06-13 02:17:42,50000,36,failed,2
Web,2016-05-16 00:55:12,5000,3,failed,3
Technology,2015-09-30 17:58:00,9750,50,failed,2
Web,2014-09-28 20:34:42,10000,0,failed,0
Wearables,2014-10-28 09:59:38,100000,104656,successful,224
Web,2015-08-02 05:59:00,2500,45,failed,3
Software,2014-03-23 15:01:52,850000,635,failed,34
Apps,2016-07-30 02:03:47,1000,0,failed,0
Software,2014-12-10 02:13:58,5000,0,failed,0
Software,2014-02-21 18:22:42,3330,90,failed,7
Web,2014-08-16 05:59:00,35750,1,failed,1
Fabrication Tools,2015-03-18 22:54:09,12000,1,failed,1
Apps,2014-09-08 01:04:30,50000,6,failed,1
Apps,2014-11-27 21:17:40,5000,30,failed,2
Technology,2011-12-07 19:55:06,5000,660,failed,14
Apps,2015-05-27 18:06:47,100000,0,failed,0
Software,2013-12-26 18:09:33,25000,416,canceled,24
Apps,2016-05-01 06:00:00,50000,192,canceled,5
Software,2014-12-11 16:31:22,10000,340,failed,18
Hardware,2016-05-14 21:46:26,20000,20001,successful,83
Software,2012-09-01 14:58:00,65000,2285.66,failed,51
Technology,2015-12-06 16:16:50,20000,695,failed,6
Apps,2016-12-11 01:02:14,18000,95,canceled,4
Technology,2012-05-24 02:42:22,150,396,successful,38
Software,2010-03-29 16:54:00,2000,2625,successful,30
Technology,2012-08-26 18:51:39,45000,3530,failed,43
Hardware,2013-06-18 17:01:24,5000,465,failed,6
Apps,2016-05-04 04:27:43,14000,0,canceled,0
Technology,2013-05-24 03:06:23,65000,1971,failed,8
Web,2014-10-31 06:00:00,50000,0,failed,0
Technology,2011-06-11 09:38:29,2650,11,failed,3
Hardware,2014-11-14 05:01:16,7000,811,failed,8
Technology,2016-03-09 16:43:49,7500,9643,successful,6
Web,2015-08-05 17:18:32,5000,0,failed,0
Gadgets,2015-06-22 06:59:00,2500,2815,successful,67
Apps,2015-10-28 16:10:56,100000,0,canceled,0
Gadgets,2016-11-17 10:14:32,30000,30694,successful,308
Web,2015-08-26 19:01:12,90,118,successful,14
Flight,2015-10-01 04:24:42,78000,7163,failed,11
Technology,2015-10-23 00:17:59,10000,805,failed,14
Apps,2014-05-25 17:49:45,10000,37,failed,6
Makerspaces,2014-11-10 22:34:49,25000,1897,failed,29
Technology,2014-11-10 17:59:00,500,0,failed,0
Hardware,2015-03-14 05:34:42,20000,1064,failed,29
Gadgets,2014-08-07 17:02:41,1400,0,canceled,0
Hardware,2014-07-11 18:55:08,30000,35527,successful,252
Software,2015-09-01 06:00:00,2250,2250,successful,17
Wearables,2015-12-02 21:00:32,3500,210,failed,10
Robots,2014-11-14 05:34:13,945000,4576,canceled,9
Hardware,2014-05-06 00:37:25,50000,9673,canceled,95
Software,2015-11-06 16:27:22,9000,0,failed,0
DIY Electronics,2016-11-02 17:16:35,85000,8296,failed,76
Apps,2016-06-15 08:17:01,70000,6915,failed,38
Technology,2015-03-26 18:21:37,420,522,successful,19
Wearables,2015-05-01 04:13:00,5000,0,canceled,0
Apps,2015-04-10 07:38:48,15000,0,failed,0
Web,2015-08-02 17:50:33,50000,0,failed,0
Apps,2015-06-26 21:26:44,19320,50,failed,2
Web,2016-09-30 01:00:00,5000,9865,successful,227
Apps,2015-05-16 03:00:11,2500,19136,successful,92
Flight,2015-08-05 17:28:34,5000,130,failed,4
Apps,2016-06-09 17:40:57,50000,70,failed,2
Camera Equipment,2014-08-28 22:36:49,75000,377035,successful,1773
Software,2015-02-19 17:05:06,20000,5,failed,1
Hardware,2016-06-16 18:23:28,100000,9327,canceled,104
Software,2015-02-12 01:27:52,15000,1,failed,1
Technology,2011-09-29 03:13:35,25000,10,canceled,2
Hardware,2013-05-27 18:38:22,7500,11633,successful,175
DIY Electronics,2016-12-04 14:25:09,6500,7348,successful,127
Hardware,2014-10-11 15:40:00,6250,13627.95,successful,126
Software,2015-04-25 00:53:00,12000,150,failed,4
Web,2016-11-24 14:39:06,25000,180,failed,4
Apps,2015-08-21 03:00:00,5500,584,failed,9
Apps,2016-02-04 00:40:56,3000,0,failed,0
Flight,2016-05-07 01:10:50,4200,37,failed,3
Technology,2016-01-22 17:57:45,25000,0,failed,0
Apps,2015-03-19 20:45:13,25000,1,failed,1
Technology,2016-04-29 19:31:58,1900,121,failed,4
Hardware,2014-08-20 18:54:19,35000,1329,failed,18
DIY Electronics,2015-07-26 02:57:38,1000,9282,successful,33
Hardware,2015-07-20 00:00:39,50000,2102,failed,27
Technology,2014-04-25 21:38:12,10000,26,canceled,2
Software,2016-11-18 21:39:03,200,275,successful,17
Technology,2011-10-22 09:17:20,2000,281,failed,13
Web,2016-06-22 20:28:54,100000,3,failed,3
Technology,2012-06-09 16:44:01,70000,17454,failed,88
Sound,2015-06-15 05:20:24,10000,0,failed,0
Hardware,2015-11-11 18:37:05,5000,5424,successful,52
Technology,2010-12-18 05:59:00,1111,3656,successful,25
Makerspaces,2015-04-17 01:14:39,20000,20069,successful,27
Wearables,2016-11-29 18:01:45,3000,289,failed,12
Hardware,2015-07-07 19:36:03,50000,100,failed,1
Technology,2014-08-02 23:14:31,1000,2240,successful,109
Apps,2014-12-10 18:57:04,6300,0,failed,0
Apps,2015-09-12 03:11:00,5000,0,failed,0
Apps,2016-10-23 00:12:32,35000,5731,failed,50
Technology,2012-07-26 23:29:18,200000,2949,failed,80
Hardware,2013-06-25 13:58:06,60000,8354,failed,77
3D Printing,2016-08-12 22:02:00,1900,652,failed,12
Technology,2013-08-05 14:11:25,25000,5828,failed,14
Technology,2016-12-03 17:27:17,50000,2323,failed,8
Hardware,2014-04-03 15:07:58,6388,591,failed,14
Software,2015-09-13 21:52:40,10000,100,canceled,1
DIY Electronics,2016-11-29 04:41:55,1000,2542,successful,47
Technology,2015-07-11 19:02:01,20000,0,canceled,0
Hardware,2016-06-10 15:36:01,50000,478,failed,5
Web,2015-01-01 08:59:00,22000,1,failed,1
Technology,2012-10-12 17:13:01,17600,1280,failed,56
Technology,2016-08-21 18:09:01,5000,1243,failed,24
Apps,2014-07-05 22:34:42,30000,4,failed,4
Software,2015-11-07 17:46:45,15000,40,failed,3
DIY Electronics,2014-04-02 19:50:51,26800,32920.29,successful,169
Makerspaces,2015-11-03 05:59:00,10000,19020,successful,53
Technology,2013-09-21 18:10:09,1000,25,failed,2
Robots,2012-08-01 08:59:00,20000,111622.38,successful,484
Hardware,2016-02-01 18:52:57,75000,6832,canceled,13
Web,2016-01-28 15:27:12,60000,500,canceled,1
Web,2014-11-27 03:55:14,50000,3475,failed,17
Technology,2010-04-18 11:59:00,2500,2685.08,successful,19
Web,2016-03-31 17:53:59,4000,450,failed,8
Software,2016-05-13 03:24:54,125000,1771,failed,12
Web,2015-02-11 19:13:21,50000,2,failed,2
Gadgets,2015-12-22 05:00:00,200000,316176,successful,1374
Technology,2015-05-07 16:14:37,500,45,canceled,3
Apps,2014-09-03 18:46:14,100000,115,failed,5
Technology,2015-02-24 04:00:00,20000,55438,successful,957
Fabrication Tools,2016-09-18 05:19:32,100000,7388,failed,9
Sound,2014-09-22 17:06:27,10000,92324.55,successful,1636
